csd,name,lon,lat,in_region
3523008,Guelph,-80.23838604348941,43.548774270910585,FALSE
3529005,Brant,-80.44459725904666,43.08911393515254,FALSE
3530004,North Dumfries,-80.40534345871536,43.32465566167946,TRUE
3530010,Cambridge,-80.33541839881956,43.42315446024731,TRUE
3530013,Kitchener,-80.47510811221214,43.418967209073024,TRUE
3530016,Waterloo,-80.5662598973756,43.47012993726408,TRUE
3530020,Wilmot,-80.64615506202772,43.39237378455092,TRUE
3530027,Wellesley,-80.71725247093084,43.54747216570737,TRUE
3530035,Woolwich,-80.52588303139274,43.582037545522155,TRUE
3531011,Stratford,-80.98397452392416,43.37061453992325,FALSE
