table,kind,level,flag,meaning,rows,columns,examples
98-10-0459,footnote,caution,1,"Note for commuting flows tables This table shows the commuting flows between the geography of residence and the geography of work for the employed labour force aged 15 years and over having a usual place of work. Only flows of employed persons greater than 0 are displayed within HTML however all flows, including 0 flows, are available in the full table downloads. For information on data quality, as well as random rounding, data suppression, and other methods of disclosure control, please consult the Guide to the Census of Population, 2021, Catalogue no. 98-304-X, and the reference guides for the individual topics.",,whole table,
98-10-0459,footnote,note,3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,whole table,
98-10-0462,footnote,note,3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,whole table,
98-10-0462,symbol,note,...,not applicable,4,symbol,2021 / North Dumfries / Total - Age / Total - Gender; 2021 / Wellesley / Total - Age / Total - Gender
98-10-0464,footnote,note,4,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,whole table,
98-10-0464,symbol,note,...,not applicable,2,status,"Wellesley / Total - Gender / 95% confidence interval lower bound, Count / Public transit; Wellesley / Total - Gender / 95% confidence interval upper bound, Count / Public transit"
98-10-0467,footnote,note,3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,whole table,
98-10-0467,footnote,note,7,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013.",,"Highest certificate, diploma or degree (16): Total - Highest certificate, diploma or degree",
98-400-X2016321,footnote,caution,quality,"For information on data quality, as well as random rounding, data suppression, and other methods of disclosure control, please consult the Guide to the Census of Population, 2016, Catalogue no. 98-304-X, and the reference guides for the individual topics.",,whole table,
