date,year,month,year_month,day_of_week,holiday,weekend_or_holiday,calls_presented,avg_queue_time,max_queue_time,calls_handled,avg_speed_of_answer,avg_handle_time,max_handle_time,calls_abandoned,target_seconds,answered_within_target,abandoned_within_target,pct_handled_within_target,pct_within_target_excl_abandoned,pct_within_target_abandoned_positive,pct_answered_within_target,percentage_of_calls_handled,percentage_of_calls_abandoned
2021-06-29,2021,Jun,2021-06-01,Tue,FALSE,FALSE,617,406,3637,443,479,136,1146,174,30,205,41,46.3,35.6,39.9,33.2,71.8,28.2
2021-06-30,2021,Jun,2021-06-01,Wed,FALSE,FALSE,626,310,2163,482,355,143,762,144,30,221,31,45.9,37.1,40.3,35.3,77,23
2021-07-01,2021,Jul,2021-07-01,Thu,TRUE,TRUE,224,42,818,208,38,132,1248,16,30,156,8,75,72.2,73.2,69.6,92.9,7.1
2021-07-02,2021,Jul,2021-07-01,Fri,FALSE,FALSE,421,180,1394,325,196,163,1221,96,30,127,22,39.1,31.8,35.4,30.2,77.2,22.8
2021-07-03,2021,Jul,2021-07-01,Sat,FALSE,TRUE,192,57,581,151,43,148,3177,41,30,120,11,79.5,66.3,68.2,62.5,78.7,21.4
2021-07-04,2021,Jul,2021-07-01,Sun,FALSE,TRUE,134,22,341,129,22,103,1166,5,30,112,4,86.8,86.2,86.6,83.6,96.3,3.7
2021-07-05,2021,Jul,2021-07-01,Mon,FALSE,FALSE,590,126,1236,515,133,132,1054,75,30,297,28,57.7,52.9,55.1,50.3,87.3,12.7
2021-07-06,2021,Jul,2021-07-01,Tue,FALSE,FALSE,454,62,557,420,62,138,1284,34,30,313,15,74.5,71.3,72.3,68.9,92.5,7.5
2021-07-07,2021,Jul,2021-07-01,Wed,FALSE,FALSE,391,39,377,366,38,135,796,25,30,287,14,78.4,76.1,77,73.4,93.6,6.4
2021-07-08,2021,Jul,2021-07-01,Thu,FALSE,FALSE,308,26,371,289,25,131,657,19,30,244,12,84.4,82.4,83.1,79.2,93.8,6.2
2021-07-09,2021,Jul,2021-07-01,Fri,FALSE,FALSE,345,29,771,327,26,156,708,18,30,263,10,80.4,78.5,79.1,76.2,94.8,5.2
2021-07-10,2021,Jul,2021-07-01,Sat,FALSE,TRUE,142,91,1067,111,79,171,874,31,30,82,9,73.9,61.7,64.1,57.8,78.2,21.8
2021-07-11,2021,Jul,2021-07-01,Sun,FALSE,TRUE,67,47,650,62,40,174,618,5,30,52,2,83.9,80,80.6,77.6,92.5,7.5
2021-07-12,2021,Jul,2021-07-01,Mon,FALSE,FALSE,422,139,1070,379,142,157,1232,43,30,241,11,63.6,58.6,59.7,57.1,89.8,10.2
2021-07-13,2021,Jul,2021-07-01,Tue,FALSE,FALSE,383,14,274,374,13,136,904,9,30,345,6,92.3,91.5,91.6,90.1,97.7,2.4
2021-07-14,2021,Jul,2021-07-01,Wed,FALSE,FALSE,412,18,445,402,17,140,1002,10,30,375,7,93.3,92.6,92.7,91,97.6,2.4
2021-07-15,2021,Jul,2021-07-01,Thu,FALSE,FALSE,376,27,616,350,25,164,1845,26,30,286,18,81.7,79.9,80.9,76.1,93.1,6.9
2021-07-16,2021,Jul,2021-07-01,Fri,FALSE,FALSE,302,9,257,290,8,119,663,12,30,278,11,95.9,95.5,95.7,92.1,96,4
2021-07-17,2021,Jul,2021-07-01,Sat,FALSE,TRUE,97,29,366,90,22,129,704,7,30,80,4,88.9,86,86.6,82.5,92.8,7.2
2021-07-18,2021,Jul,2021-07-01,Sun,FALSE,TRUE,107,38,824,96,32,115,522,11,30,81,6,84.4,80.2,81.3,75.7,89.7,10.3
2021-07-19,2021,Jul,2021-07-01,Mon,FALSE,FALSE,465,59,524,422,59,152,929,43,30,284,18,67.3,63.5,65,61.1,90.8,9.3
2021-07-20,2021,Jul,2021-07-01,Tue,FALSE,FALSE,400,35,526,376,35,137,867,24,30,291,13,77.4,75.2,76,72.8,94,6
2021-07-21,2021,Jul,2021-07-01,Wed,FALSE,FALSE,370,20,229,353,20,146,1112,17,30,302,12,85.6,84.4,84.9,81.6,95.4,4.6
2021-07-22,2021,Jul,2021-07-01,Thu,FALSE,FALSE,385,36,517,361,34,128,763,24,30,288,10,79.8,76.8,77.4,74.8,93.8,6.2
2021-07-23,2021,Jul,2021-07-01,Fri,FALSE,FALSE,318,38,635,298,37,137,2258,20,30,234,11,78.5,76.2,77,73.6,93.7,6.3
2021-07-24,2021,Jul,2021-07-01,Sat,FALSE,TRUE,89,42,648,76,29,145,1645,13,30,67,5,88.2,79.8,80.9,75.3,85.4,14.6
2021-07-26,2021,Jul,2021-07-01,Mon,FALSE,FALSE,461,166,1010,374,177,152,1394,87,30,169,26,45.2,38.9,42.3,36.7,81.1,18.9
2021-07-27,2021,Jul,2021-07-01,Tue,FALSE,FALSE,373,40,491,352,39,134,924,21,30,262,11,74.4,72.4,73.2,70.2,94.4,5.6
2021-07-28,2021,Jul,2021-07-01,Wed,FALSE,FALSE,376,100,1060,331,101,139,800,45,30,191,20,57.7,53.7,56.1,50.8,88,12
2021-07-29,2021,Jul,2021-07-01,Thu,FALSE,FALSE,347,39,645,332,39,132,1078,15,30,272,9,81.9,80.5,81,78.4,95.7,4.3
2021-07-30,2021,Jul,2021-07-01,Fri,FALSE,FALSE,336,23,560,323,21,118,1069,13,30,283,8,87.6,86.3,86.6,84.2,96.1,3.9
2021-07-31,2021,Jul,2021-07-01,Sat,FALSE,TRUE,115,43,717,99,34,162,1810,16,30,80,5,80.8,72.7,73.9,69.6,86.1,13.9
2021-08-01,2021,Aug,2021-08-01,Sun,FALSE,TRUE,78,40,387,73,39,134,492,4,30,57,1,78.1,74,74.4,73.1,93.6,5.1
