date,year,month,year_month,day_of_week,holiday,weekend_or_holiday,calls_presented,avg_queue_time,max_queue_time,calls_handled,avg_speed_of_answer,avg_handle_time,max_handle_time,calls_abandoned,target_seconds,answered_within_target,abandoned_within_target,pct_handled_within_target,pct_within_target_excl_abandoned,pct_within_target_abandoned_positive,pct_answered_within_target,percentage_of_calls_handled,percentage_of_calls_abandoned
2021-10-06,2021,Oct,2021-10-01,Wed,FALSE,FALSE,343,43,558,326,41,120,683,17,30,236,6,72.4,70,70.6,68.8,95,5
2021-10-07,2021,Oct,2021-10-01,Thu,FALSE,FALSE,336,38,539,312,39,143,903,24,30,249,17,79.8,78.1,79.2,74.1,92.9,7.1
2021-10-08,2021,Oct,2021-10-01,Fri,FALSE,FALSE,274,55,891,242,46,165,3117,32,30,180,12,74.4,68.7,70.1,65.7,88.3,11.7
2021-10-10,2021,Oct,2021-10-01,Sun,FALSE,TRUE,69,35,372,68,32,116,1728,1,30,56,0,82.4,81.2,81.2,81.2,98.6,1.5
2021-10-11,2021,Oct,2021-10-01,Mon,TRUE,TRUE,62,28,569,59,29,115,598,3,30,52,2,88.1,86.7,87.1,83.9,95.2,4.8
2021-10-12,2021,Oct,2021-10-01,Tue,FALSE,FALSE,362,22,259,343,22,134,927,19,30,291,10,84.8,82.7,83.2,80.4,94.8,5.3
2021-10-13,2021,Oct,2021-10-01,Wed,FALSE,FALSE,333,17,192,318,16,148,894,15,30,282,11,88.7,87.6,88,84.7,95.5,4.5
2021-10-14,2021,Oct,2021-10-01,Thu,FALSE,FALSE,356,19,493,341,18,128,1741,15,30,294,10,86.2,85,85.4,82.6,95.8,4.2
2021-10-15,2021,Oct,2021-10-01,Fri,FALSE,FALSE,283,55,742,260,57,173,2086,23,30,199,16,76.5,74.5,76,70.3,91.9,8.1
2021-10-16,2021,Oct,2021-10-01,Sat,FALSE,TRUE,92,67,534,86,60,142,787,6,30,64,1,74.4,70.3,70.7,69.6,93.5,6.5
2021-10-17,2021,Oct,2021-10-01,Sun,FALSE,TRUE,63,34,411,55,35,117,588,8,30,46,5,83.6,79.3,81,73,87.3,12.7
2021-10-18,2021,Oct,2021-10-01,Mon,FALSE,FALSE,395,20,242,385,19,128,1337,10,30,336,6,87.3,86.4,86.6,85.1,97.5,2.5
2021-10-19,2021,Oct,2021-10-01,Tue,FALSE,FALSE,372,35,887,351,30,133,753,21,30,287,11,81.8,79.5,80.1,77.2,94.4,5.7
2021-10-20,2021,Oct,2021-10-01,Wed,FALSE,FALSE,388,30,504,364,29,144,2067,24,30,297,14,81.6,79.4,80.2,76.6,93.8,6.2
2021-10-21,2021,Oct,2021-10-01,Thu,FALSE,FALSE,328,41,550,301,41,142,1336,27,30,222,17,73.8,71.4,72.9,67.7,91.8,8.2
2021-10-22,2021,Oct,2021-10-01,Fri,FALSE,FALSE,368,89,1302,341,81,133,1052,27,30,278,14,81.5,78.5,79.4,75.5,92.7,7.3
2021-10-23,2021,Oct,2021-10-01,Sat,FALSE,TRUE,98,58,1170,91,54,121,669,7,30,73,2,80.2,76,76.5,74.5,92.9,7.1
2021-10-24,2021,Oct,2021-10-01,Sun,FALSE,TRUE,75,25,326,72,24,129,1658,3,30,62,1,86.1,83.8,84,82.7,96,4
2021-10-25,2021,Oct,2021-10-01,Mon,FALSE,FALSE,366,20,262,361,20,121,709,5,30,305,5,84.5,84.5,84.7,83.3,98.6,1.4
2021-10-26,2021,Oct,2021-10-01,Tue,FALSE,FALSE,316,15,411,301,15,144,1149,15,30,277,10,92,90.5,90.8,87.7,95.3,4.8
2021-10-27,2021,Oct,2021-10-01,Wed,FALSE,FALSE,331,12,130,317,11,141,978,14,30,296,10,93.4,92.2,92.5,89.4,95.8,4.2
2021-10-28,2021,Oct,2021-10-01,Thu,FALSE,FALSE,331,51,809,307,48,130,1166,24,30,229,12,74.6,71.8,72.8,69.2,92.8,7.3
2021-10-29,2021,Oct,2021-10-01,Fri,FALSE,FALSE,281,11,312,273,11,127,668,8,30,259,7,94.9,94.5,94.7,92.2,97.2,2.9
2021-10-30,2021,Oct,2021-10-01,Sat,FALSE,TRUE,69,10,200,65,7,133,510,4,30,64,3,98.5,97,97.1,92.8,94.2,5.8
2021-10-31,2021,Oct,2021-10-01,Sun,FALSE,TRUE,77,85,1141,69,83,227,5001,8,30,52,3,75.4,70.3,71.4,67.5,89.6,10.4
2021-11-01,2021,Nov,2021-11-01,Mon,FALSE,FALSE,332,30,482,315,29,151,1155,17,30,252,8,80,77.8,78.3,75.9,94.9,5.1
2021-11-02,2021,Nov,2021-11-01,Tue,FALSE,FALSE,285,9,144,277,10,131,1895,8,30,262,8,94.6,94.6,94.7,91.9,97.2,2.8
2021-11-03,2021,Nov,2021-11-01,Wed,FALSE,FALSE,303,11,266,291,10,126,1242,12,30,274,9,94.2,93.2,93.4,90.4,96,4
2021-11-04,2021,Nov,2021-11-01,Thu,FALSE,FALSE,332,39,653,300,29,119,841,32,30,250,11,83.3,77.9,78.6,75.3,90.4,9.6
2021-11-05,2021,Nov,2021-11-01,Fri,FALSE,FALSE,249,32,1858,233,28,137,1016,16,30,206,10,88.4,86.2,86.8,82.7,93.6,6.4
2021-11-06,2021,Nov,2021-11-01,Sat,FALSE,TRUE,88,22,227,87,22,129,705,1,30,72,1,82.8,82.8,83,81.8,98.9,1.1
2021-11-07,2021,Nov,2021-11-01,Sun,FALSE,TRUE,75,25,263,70,26,162,997,5,30,60,4,85.7,84.5,85.3,80,93.3,6.7
2021-11-08,2021,Nov,2021-11-01,Mon,FALSE,FALSE,316,7,103,303,7,127,797,13,30,292,12,96.4,96.1,96.2,92.4,95.9,4.1
2021-11-09,2021,Nov,2021-11-01,Tue,FALSE,FALSE,320,15,283,307,14,138,1216,13,30,284,9,92.5,91.3,91.6,88.8,95.9,4.1
2021-11-11,2021,Nov,2021-11-01,Thu,FALSE,FALSE,263,8,112,257,8,117,841,6,30,252,6,98.1,98.1,98.1,95.8,97.7,2.3
2021-11-12,2021,Nov,2021-11-01,Fri,FALSE,FALSE,358,25,321,333,26,150,1527,25,30,282,21,84.7,83.7,84.6,78.8,93,7
2021-11-13,2021,Nov,2021-11-01,Sat,FALSE,TRUE,76,38,239,67,37,147,724,9,30,50,5,74.6,70.4,72.4,65.8,88.2,11.8
2021-11-14,2021,Nov,2021-11-01,Sun,FALSE,TRUE,52,25,527,50,26,174,852,2,30,46,2,92,92,92.3,88.5,96.2,3.9
2021-11-15,2021,Nov,2021-11-01,Mon,FALSE,FALSE,389,16,215,372,15,121,1865,17,30,334,14,89.8,89.1,89.5,85.9,95.6,4.4
2021-11-16,2021,Nov,2021-11-01,Tue,FALSE,FALSE,288,25,591,275,25,132,1278,13,30,236,8,85.8,84.3,84.7,81.9,95.5,4.5
2021-11-17,2021,Nov,2021-11-01,Wed,FALSE,FALSE,287,16,265,276,15,116,717,11,30,247,7,89.5,88.2,88.5,86.1,96.2,3.8
2021-11-18,2021,Nov,2021-11-01,Thu,FALSE,FALSE,297,15,305,288,15,134,1629,9,30,255,7,88.5,87.9,88.2,85.9,97,3
2021-11-19,2021,Nov,2021-11-01,Fri,FALSE,FALSE,240,19,525,238,18,154,2280,2,30,221,0,92.9,92.1,92.1,92.1,99.2,0.8
2021-11-20,2021,Nov,2021-11-01,Sat,FALSE,TRUE,84,38,351,78,32,187,908,6,30,65,3,83.3,80.3,81,77.4,92.9,7.1
2021-11-21,2021,Nov,2021-11-01,Sun,FALSE,TRUE,79,43,879,72,32,147,760,7,30,65,2,90.3,84.4,84.8,82.3,91.1,8.9
2021-11-22,2021,Nov,2021-11-01,Mon,FALSE,FALSE,351,18,394,345,18,115,975,6,30,301,5,87.3,87,87.2,85.8,98.3,1.7
2021-11-23,2021,Nov,2021-11-01,Tue,FALSE,FALSE,265,15,287,259,16,99,699,6,30,235,6,90.7,90.7,90.9,88.7,97.7,2.3
2021-11-24,2021,Nov,2021-11-01,Wed,FALSE,FALSE,281,32,384,257,28,132,922,24,30,215,11,83.7,79.6,80.4,76.5,91.5,8.5
2021-11-25,2021,Nov,2021-11-01,Thu,FALSE,FALSE,268,30,677,255,28,134,772,13,30,227,9,89,87.6,88.1,84.7,95.2,4.9
2021-11-26,2021,Nov,2021-11-01,Fri,FALSE,FALSE,234,10,185,228,9,139,1939,6,30,216,3,94.7,93.5,93.6,92.3,97.4,2.6
2021-11-27,2021,Nov,2021-11-01,Sat,FALSE,TRUE,78,40,1046,72,19,136,560,6,30,63,1,87.5,81.8,82.1,80.8,92.3,7.7
2021-11-28,2021,Nov,2021-11-01,Sun,FALSE,TRUE,75,32,317,68,22,120,395,7,30,60,0,88.2,80,80,80,90.7,9.3
2021-11-29,2021,Nov,2021-11-01,Mon,FALSE,FALSE,324,14,439,315,12,129,878,9,30,296,4,94,92.5,92.6,91.4,97.2,2.8
2021-11-30,2021,Nov,2021-11-01,Tue,FALSE,FALSE,346,17,627,332,15,130,2229,14,30,309,10,93.1,92,92.2,89.3,96,4.1
2021-12-01,2021,Dec,2021-12-01,Wed,FALSE,FALSE,274,19,349,265,19,115,728,9,30,228,7,86,85.4,85.8,83.2,96.7,3.3
2021-12-02,2021,Dec,2021-12-01,Thu,FALSE,FALSE,293,58,829,277,58,118,781,16,30,215,10,77.6,76,76.8,73.4,94.5,5.5
2021-12-03,2021,Dec,2021-12-01,Fri,FALSE,FALSE,303,50,1115,287,45,118,938,16,30,236,7,82.2,79.7,80.2,77.9,94.7,5.3
2021-12-04,2021,Dec,2021-12-01,Sat,FALSE,TRUE,126,46,904,115,42,149,679,11,30,92,5,80,76,77,73,91.3,8.7
2021-12-05,2021,Dec,2021-12-01,Sun,FALSE,TRUE,73,11,206,71,11,157,631,2,30,69,2,97.2,97.2,97.3,94.5,97.3,2.7
2021-12-06,2021,Dec,2021-12-01,Mon,FALSE,FALSE,351,12,187,340,12,141,2494,11,30,316,10,92.9,92.7,92.9,90,96.9,3.1
2021-12-07,2021,Dec,2021-12-01,Tue,FALSE,FALSE,289,20,268,277,21,141,1172,12,30,237,10,85.6,85,85.5,82,95.9,4.2
2021-12-08,2021,Dec,2021-12-01,Wed,FALSE,FALSE,300,16,952,288,16,138,1420,12,30,267,9,92.7,91.8,92,89,96,4
2021-12-09,2021,Dec,2021-12-01,Thu,FALSE,FALSE,269,30,414,255,27,126,1368,14,30,213,7,83.5,81.3,81.8,79.2,94.8,5.2
2021-12-10,2021,Dec,2021-12-01,Fri,FALSE,FALSE,240,11,243,233,11,122,1675,7,30,223,6,95.7,95.3,95.4,92.9,97.1,2.9
2021-12-11,2021,Dec,2021-12-01,Sat,FALSE,TRUE,212,92,754,183,92,110,1045,29,30,120,9,65.6,59.1,60.9,56.6,86.3,13.7
2021-12-12,2021,Dec,2021-12-01,Sun,FALSE,TRUE,84,38,420,78,32,127,689,6,30,64,1,82.1,77.1,77.4,76.2,92.9,7.1
2021-12-13,2021,Dec,2021-12-01,Mon,FALSE,FALSE,328,35,599,312,35,137,889,16,30,255,10,81.7,80.2,80.8,77.7,95.1,4.9
2021-12-14,2021,Dec,2021-12-01,Tue,FALSE,FALSE,294,14,552,284,14,142,1533,10,30,266,7,93.7,92.7,92.9,90.5,96.6,3.4
2021-12-15,2021,Dec,2021-12-01,Wed,FALSE,FALSE,250,20,207,235,18,116,893,15,30,201,8,85.5,83.1,83.6,80.4,94,6
2021-12-16,2021,Dec,2021-12-01,Thu,FALSE,FALSE,333,17,273,324,17,122,1353,9,30,287,4,88.6,87.2,87.4,86.2,97.3,2.7
2021-12-17,2021,Dec,2021-12-01,Fri,FALSE,FALSE,253,16,286,245,16,118,590,8,30,224,7,91.4,91.1,91.3,88.5,96.8,3.2
2021-12-18,2021,Dec,2021-12-01,Sat,FALSE,TRUE,100,47,480,88,42,162,979,12,30,66,5,75,69.5,71,66,88,12
2021-12-19,2021,Dec,2021-12-01,Sun,FALSE,TRUE,131,47,879,118,41,148,732,13,30,96,6,81.4,76.8,77.9,73.3,90.1,9.9
2021-12-20,2021,Dec,2021-12-01,Mon,FALSE,FALSE,325,34,398,307,34,122,1656,18,30,243,12,79.2,77.6,78.5,74.8,94.5,5.5
2021-12-21,2021,Dec,2021-12-01,Tue,FALSE,FALSE,254,13,306,247,10,119,1444,7,30,229,4,92.7,91.6,91.7,90.2,97.2,2.8
2021-12-22,2021,Dec,2021-12-01,Wed,FALSE,FALSE,213,12,241,208,12,116,637,5,30,199,4,95.7,95.2,95.3,93.4,97.7,2.4
2021-12-23,2021,Dec,2021-12-01,Thu,FALSE,FALSE,211,51,711,197,50,125,976,14,30,168,7,85.3,82.4,82.9,79.6,93.4,6.6
2021-12-24,2021,Dec,2021-12-01,Fri,FALSE,FALSE,144,76,1042,133,63,131,2109,11,30,108,3,81.2,76.6,77.1,75,92.4,7.6
2021-12-25,2021,Dec,2021-12-01,Sat,FALSE,TRUE,27,8,47,25,7,119,247,2,30,25,1,100,96.2,96.3,92.6,92.6,7.4
2021-12-26,2021,Dec,2021-12-01,Sun,FALSE,TRUE,49,9,65,45,7,132,435,4,30,44,2,97.8,93.6,93.9,89.8,91.8,8.2
2021-12-27,2021,Dec,2021-12-01,Mon,TRUE,TRUE,109,10,194,105,9,149,1666,4,30,103,2,98.1,96.3,96.3,94.5,96.3,3.7
2021-12-28,2021,Dec,2021-12-01,Tue,TRUE,TRUE,128,18,183,122,16,156,861,6,30,109,4,89.3,87.9,88.3,85.2,95.3,4.7
2021-12-29,2021,Dec,2021-12-01,Wed,FALSE,FALSE,257,33,564,245,32,115,679,12,30,209,5,85.3,82.9,83.3,81.3,95.3,4.7
2021-12-30,2021,Dec,2021-12-01,Thu,FALSE,FALSE,191,9,305,185,7,109,1956,6,30,184,4,99.5,98.4,98.4,96.3,96.9,3.1
2021-12-31,2021,Dec,2021-12-01,Fri,FALSE,FALSE,176,22,388,164,18,128,911,12,30,143,7,87.2,84.6,85.2,81.3,93.2,6.8
2022-01-01,2022,Jan,2022-01-01,Sat,FALSE,TRUE,55,20,386,51,21,135,758,4,30,48,4,94.1,94.1,94.6,87.3,92.7,7.3
2022-01-02,2022,Jan,2022-01-01,Sun,FALSE,TRUE,71,17,277,66,16,134,494,5,30,60,4,90.9,89.6,90.1,84.5,93,7
2022-01-03,2022,Jan,2022-01-01,Mon,TRUE,TRUE,191,22,355,175,15,138,1013,16,30,163,6,93.1,88.1,88.5,85.3,91.6,8.4
2022-01-05,2022,Jan,2022-01-01,Wed,FALSE,FALSE,242,29,472,223,26,147,1648,19,30,183,11,82.1,79.2,80.2,75.6,92.2,7.9
2022-01-06,2022,Jan,2022-01-01,Thu,FALSE,FALSE,243,27,382,236,28,94,604,7,30,190,6,80.5,80.2,80.7,78.2,97.1,2.9
2022-01-07,2022,Jan,2022-01-01,Fri,FALSE,FALSE,241,20,326,231,20,113,3569,10,30,198,6,85.7,84.3,84.7,82.2,95.9,4.2
2022-01-08,2022,Jan,2022-01-01,Sat,FALSE,TRUE,72,41,548,65,34,120,574,7,30,56,2,86.2,80,80.6,77.8,90.3,9.7
2022-01-09,2022,Jan,2022-01-01,Sun,FALSE,TRUE,61,37,374,57,35,110,577,4,30,49,1,86,81.7,82,80.3,93.4,6.6
2022-01-10,2022,Jan,2022-01-01,Mon,FALSE,FALSE,265,10,253,257,10,100,568,8,30,247,7,96.1,95.7,95.9,93.2,97,3
2022-01-11,2022,Jan,2022-01-01,Tue,FALSE,FALSE,258,11,160,253,11,115,661,5,30,241,4,95.3,94.9,95,93.4,98.1,1.9
2022-01-12,2022,Jan,2022-01-01,Wed,FALSE,FALSE,234,15,338,227,14,124,669,7,30,208,5,91.6,90.8,91,88.9,97,3
2022-01-13,2022,Jan,2022-01-01,Thu,FALSE,FALSE,221,21,422,212,21,140,985,9,30,193,7,91,90.2,90.5,87.3,95.9,4.1
2022-01-14,2022,Jan,2022-01-01,Fri,FALSE,FALSE,294,25,1000,276,24,116,725,18,30,236,11,85.5,83.4,84,80.3,93.9,6.1
2022-01-15,2022,Jan,2022-01-01,Sat,FALSE,TRUE,97,30,497,92,29,118,571,5,30,76,3,82.6,80.9,81.4,78.4,94.9,5.2
2022-01-16,2022,Jan,2022-01-01,Sun,FALSE,TRUE,75,15,207,72,16,114,991,3,30,64,3,88.9,88.9,89.3,85.3,96,4
2022-01-17,2022,Jan,2022-01-01,Mon,FALSE,FALSE,661,85,879,600,85,142,1077,61,30,361,26,60.2,56.9,58.6,54.6,90.8,9.2
2022-01-18,2022,Jan,2022-01-01,Tue,FALSE,FALSE,833,311,1743,587,351,167,1471,246,30,239,40,40.7,30.1,33.5,28.7,70.5,29.5
2022-01-19,2022,Jan,2022-01-01,Wed,FALSE,FALSE,437,115,924,380,117,178,1508,57,30,202,26,53.2,49.2,52.2,46.2,87,13
2022-01-20,2022,Jan,2022-01-01,Thu,FALSE,FALSE,366,46,653,340,46,147,1210,25,30,253,16,74.4,72.3,73.5,69.1,92.9,6.8
2022-01-21,2022,Jan,2022-01-01,Fri,FALSE,FALSE,298,44,573,285,40,153,1489,13,30,238,5,83.5,81.2,81.5,79.9,95.6,4.4
2022-01-22,2022,Jan,2022-01-01,Sat,FALSE,TRUE,133,38,600,126,34,139,1718,7,30,100,3,79.4,76.9,77.4,75.2,94.7,5.3
2022-01-23,2022,Jan,2022-01-01,Sun,FALSE,TRUE,104,37,458,96,27,156,753,8,30,77,4,80.2,77,77.9,74,92.3,7.7
2022-01-24,2022,Jan,2022-01-01,Mon,FALSE,FALSE,320,17,290,297,17,134,1191,23,30,272,19,91.6,90.4,90.9,85,92.8,7.2
2022-01-25,2022,Jan,2022-01-01,Tue,FALSE,FALSE,328,16,234,318,15,122,767,10,30,292,6,91.8,90.7,90.9,89,97,3.1
2022-01-26,2022,Jan,2022-01-01,Wed,FALSE,FALSE,324,11,267,309,11,122,1678,15,30,295,12,95.5,94.6,94.8,91.1,95.4,4.6
2022-01-27,2022,Jan,2022-01-01,Thu,FALSE,FALSE,273,18,932,262,15,116,841,11,30,247,7,94.3,92.9,93,90.5,96,4
2022-01-28,2022,Jan,2022-01-01,Fri,FALSE,FALSE,279,11,302,270,10,124,1078,9,30,256,7,94.8,94.1,94.3,91.8,96.8,3.2
2022-01-29,2022,Jan,2022-01-01,Sat,FALSE,TRUE,89,54,1019,83,46,125,688,6,30,71,3,85.5,82.6,83.2,79.8,93.3,6.7
2022-01-30,2022,Jan,2022-01-01,Sun,FALSE,TRUE,106,24,302,100,18,90,371,6,30,90,2,90,86.5,86.8,84.9,94.3,5.7
2022-01-31,2022,Jan,2022-01-01,Mon,FALSE,FALSE,405,16,318,389,15,128,1586,15,30,350,12,90,89.1,89.4,86.4,96.1,3.7
2022-02-01,2022,Feb,2022-02-01,Tue,FALSE,FALSE,378,29,638,359,24,133,1299,19,30,309,6,86.1,83.1,83.3,81.8,95,5
2022-02-02,2022,Feb,2022-02-01,Wed,FALSE,FALSE,362,14,297,344,14,111,996,18,30,314,16,91.3,90.8,91.2,86.7,95,5
2022-02-03,2022,Feb,2022-02-01,Thu,FALSE,FALSE,464,43,532,433,41,123,1306,31,30,318,17,73.4,71.1,72.2,68.5,93.3,6.7
2022-02-04,2022,Feb,2022-02-01,Fri,FALSE,FALSE,443,56,675,404,56,104,900,39,30,290,21,71.8,68.7,70.2,65.5,91.2,8.8
2022-02-05,2022,Feb,2022-02-01,Sat,FALSE,TRUE,118,65,452,93,54,166,885,25,30,73,8,78.5,66.4,68.6,61.9,78.8,21.2
2022-02-06,2022,Feb,2022-02-01,Sun,FALSE,TRUE,101,49,359,85,46,149,715,16,30,65,6,76.5,68.4,70.3,64.4,84.2,15.8
2022-02-08,2022,Feb,2022-02-01,Tue,FALSE,FALSE,371,21,433,354,20,128,825,17,30,318,11,89.8,88.3,88.7,85.7,95.4,4.6
2022-02-09,2022,Feb,2022-02-01,Wed,FALSE,FALSE,316,20,286,309,19,125,764,7,30,264,5,85.4,84.9,85.1,83.5,97.8,2.2
2022-02-10,2022,Feb,2022-02-01,Thu,FALSE,FALSE,302,39,553,283,37,118,788,19,30,239,11,84.5,82.1,82.8,79.1,93.7,6.3
2022-02-11,2022,Feb,2022-02-01,Fri,FALSE,FALSE,322,79,1099,280,76,140,1059,42,30,189,20,67.5,62.6,64.9,58.7,87,13
2022-02-12,2022,Feb,2022-02-01,Sat,FALSE,TRUE,175,117,1115,156,117,132,1185,19,30,99,8,63.5,59.3,61.1,56.6,89.1,10.9
2022-02-13,2022,Feb,2022-02-01,Sun,FALSE,TRUE,136,44,774,117,34,165,980,19,30,96,3,82.1,72.2,72.8,70.6,86,14
2022-02-14,2022,Feb,2022-02-01,Mon,FALSE,FALSE,375,24,258,366,24,124,906,9,30,303,4,82.8,81.7,81.9,80.8,97.6,2.4
2022-02-15,2022,Feb,2022-02-01,Tue,FALSE,FALSE,371,30,518,347,30,127,1056,24,30,283,15,81.6,79.5,80.3,76.3,93.5,6.5
2022-02-16,2022,Feb,2022-02-01,Wed,FALSE,FALSE,394,23,363,386,23,118,713,8,30,323,6,83.7,83.3,83.5,82,98,2
2022-02-17,2022,Feb,2022-02-01,Thu,FALSE,FALSE,379,63,846,349,59,172,1518,30,30,251,13,71.9,68.6,69.7,66.2,92.1,7.9
2022-02-18,2022,Feb,2022-02-01,Fri,FALSE,FALSE,437,37,466,412,35,157,1237,25,30,333,11,80.8,78.2,78.7,76.2,94.3,5.7
2022-02-19,2022,Feb,2022-02-01,Sat,FALSE,TRUE,244,104,720,193,94,174,1530,51,30,107,16,55.4,46.9,50.4,43.9,79.1,20.9
2022-02-20,2022,Feb,2022-02-01,Sun,FALSE,TRUE,270,159,1222,221,153,157,791,49,30,106,13,48,41.3,44.1,39.3,81.9,18.2
2022-02-21,2022,Feb,2022-02-01,Mon,TRUE,TRUE,144,12,181,143,12,131,1183,1,30,135,1,94.4,94.4,94.4,93.8,99.3,0.7
2022-02-22,2022,Feb,2022-02-01,Tue,FALSE,FALSE,524,69,717,482,69,124,1235,42,30,285,17,59.1,56.2,57.6,54.4,92,8
2022-02-24,2022,Feb,2022-02-01,Thu,FALSE,FALSE,430,57,509,396,53,129,772,34,30,284,13,71.7,68.1,69.1,66.1,92.1,7.9
2022-02-25,2022,Feb,2022-02-01,Fri,FALSE,FALSE,407,88,693,363,85,124,1629,44,30,224,16,61.7,57.3,59,55,89.2,10.8
2022-02-26,2022,Feb,2022-02-01,Sat,FALSE,TRUE,130,46,632,119,42,129,695,11,30,102,5,85.7,81.6,82.3,78.5,91.5,8.5
2022-02-27,2022,Feb,2022-02-01,Sun,FALSE,TRUE,80,24,300,78,20,121,725,2,30,71,1,91,89.9,90,88.8,97.5,2.5
2022-02-28,2022,Feb,2022-02-01,Mon,FALSE,FALSE,481,16,253,458,15,112,2652,23,30,413,14,90.2,88.4,88.8,85.9,95.2,4.8
2022-03-01,2022,Mar,2022-03-01,Tue,FALSE,FALSE,351,14,282,336,13,131,1526,15,30,310,13,92.3,91.7,92,88.3,95.7,4.3
2022-03-02,2022,Mar,2022-03-01,Wed,FALSE,FALSE,347,25,417,327,22,131,1930,20,30,268,9,82,79.3,79.8,77.2,94.2,5.8
2022-03-03,2022,Mar,2022-03-01,Thu,FALSE,FALSE,352,51,519,324,51,119,646,28,30,242,12,74.7,71.2,72.2,68.8,92.1,8
2022-03-04,2022,Mar,2022-03-01,Fri,FALSE,FALSE,354,36,370,329,36,112,928,25,30,253,21,76.9,76,77.4,71.5,92.9,7.1
2022-03-05,2022,Mar,2022-03-01,Sat,FALSE,TRUE,121,37,692,114,32,137,780,7,30,98,3,86,83.1,83.5,81,94.2,5.8
2022-03-06,2022,Mar,2022-03-01,Sun,FALSE,TRUE,98,33,287,89,29,113,637,9,30,69,5,77.5,74.2,75.5,70.4,90.8,9.2
2022-03-07,2022,Mar,2022-03-01,Mon,FALSE,FALSE,380,22,444,368,21,123,964,12,30,327,6,88.9,87.4,87.6,86.1,96.8,3.2
2022-03-08,2022,Mar,2022-03-01,Tue,FALSE,FALSE,362,49,749,324,46,125,1268,38,30,249,19,76.9,72.6,74,68.8,89.5,10.5
2022-03-09,2022,Mar,2022-03-01,Wed,FALSE,FALSE,348,24,345,315,22,122,1215,33,30,261,23,82.9,80.3,81.6,75,90.5,9.5
2022-03-10,2022,Mar,2022-03-01,Thu,FALSE,FALSE,325,50,482,297,48,141,1669,28,30,214,17,72.1,69.5,71.1,65.9,91.4,8.6
2022-03-11,2022,Mar,2022-03-01,Fri,FALSE,FALSE,299,60,601,283,60,143,1123,16,30,204,6,72.1,69.6,70.2,68.2,94.7,5.4
2022-03-12,2022,Mar,2022-03-01,Sat,FALSE,TRUE,126,219,2868,94,189,190,1540,32,30,61,5,64.9,50.4,52.4,48.4,74.6,25.4
2022-03-13,2022,Mar,2022-03-01,Sun,FALSE,TRUE,74,65,984,67,47,195,1039,7,30,57,2,85.1,79.2,79.7,77,90.5,9.5
2022-03-14,2022,Mar,2022-03-01,Mon,FALSE,FALSE,339,37,1099,314,35,108,831,25,30,236,14,75.2,72.6,73.8,69.6,92.6,7.4
2022-03-15,2022,Mar,2022-03-01,Tue,FALSE,FALSE,330,21,583,313,21,118,947,17,30,273,14,87.2,86.4,87,82.7,94.9,5.2
2022-03-16,2022,Mar,2022-03-01,Wed,FALSE,FALSE,330,18,286,313,18,109,980,17,30,274,13,87.5,86.4,87,83,94.9,5.2
2022-03-17,2022,Mar,2022-03-01,Thu,FALSE,FALSE,305,29,609,285,24,132,989,20,30,243,10,85.3,82.4,83,79.7,93.4,6.6
2022-03-18,2022,Mar,2022-03-01,Fri,FALSE,FALSE,293,21,553,282,19,115,876,11,30,241,5,85.5,83.7,84,82.3,96.3,3.8
2022-03-19,2022,Mar,2022-03-01,Sat,FALSE,TRUE,99,21,444,92,17,154,997,7,30,86,2,93.5,88.7,88.9,86.9,92.9,7.1
2022-03-20,2022,Mar,2022-03-01,Sun,FALSE,TRUE,81,35,619,75,24,117,612,6,30,67,2,89.3,84.8,85.2,82.7,92.6,7.4
2022-03-21,2022,Mar,2022-03-01,Mon,FALSE,FALSE,408,138,1497,350,145,138,1350,58,30,173,23,49.4,44.9,48,42.4,85.8,14.2
2022-03-22,2022,Mar,2022-03-01,Tue,FALSE,FALSE,320,28,347,301,27,134,1114,19,30,252,9,83.7,81,81.6,78.8,94.1,5.9
2022-03-23,2022,Mar,2022-03-01,Wed,FALSE,FALSE,309,18,402,301,18,120,787,8,30,271,8,90,90,90.3,87.7,97.4,2.6
2022-03-24,2022,Mar,2022-03-01,Thu,FALSE,FALSE,312,34,311,298,34,112,900,14,30,239,10,80.2,79.1,79.8,76.6,95.5,4.5
2022-03-25,2022,Mar,2022-03-01,Fri,FALSE,FALSE,269,26,362,250,24,114,1259,19,30,218,12,87.2,84.8,85.5,81,92.9,7.1
2022-03-26,2022,Mar,2022-03-01,Sat,FALSE,TRUE,89,20,317,86,20,137,999,3,30,78,2,90.7,89.7,89.9,87.6,96.6,3.4
2022-03-27,2022,Mar,2022-03-01,Sun,FALSE,TRUE,56,29,271,53,26,112,510,3,30,46,2,86.8,85.2,85.7,82.1,94.6,5.4
2022-03-28,2022,Mar,2022-03-01,Mon,FALSE,FALSE,331,14,280,322,14,126,1842,9,30,293,7,91,90.4,90.6,88.5,97.3,2.7
2022-03-29,2022,Mar,2022-03-01,Tue,FALSE,FALSE,292,23,1316,281,20,116,1757,11,30,254,7,90.4,89.1,89.4,87,96.2,3.8
2022-03-30,2022,Mar,2022-03-01,Wed,FALSE,FALSE,264,13,343,255,12,121,1726,9,30,243,6,95.3,94.2,94.3,92.1,96.6,3.4
2022-03-31,2022,Mar,2022-03-01,Thu,FALSE,FALSE,325,38,498,305,37,112,830,20,30,226,7,74.1,71.1,71.7,69.5,93.9,6.2
