date,metric,value,holiday,year,month,month_num,year_month,day_of_week,type_of_day,weekend_holiday,covid_lockdown
2019-02-26,Calls Presented,355,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Max Handle Time,991,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Max Queue Time,482,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Calls Abandoned,10.4,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Calls Handled,89.6,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Service Level Met (Handled),83.3,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),74.7,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Service Level Met (With Abandoned Calls Counted Positively),82.5,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Percentage of Service Level Met (Without Abandoned Calls),81,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-26,Service Level (sec),30,FALSE,2019,Feb,2,2019-02-01,Tue,Weekday,FALSE,FALSE
2019-02-27,Avg Handle Time,107,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Avg Queue Time,11,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Avg Speed of Answer,10,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Calls Abandoned,21,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Calls Abandoned < Service Level,17,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Calls Handled,290,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Calls Handled < Service Level,277,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Calls Presented,311,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Max Handle Time,672,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Max Queue Time,200,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Calls Abandoned,6.8,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Calls Handled,93.3,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Service Level Met (Handled),95.5,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),89.1,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Service Level Met (With Abandoned Calls Counted Positively),94.5,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Percentage of Service Level Met (Without Abandoned Calls),94.2,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-27,Service Level (sec),30,FALSE,2019,Feb,2,2019-02-01,Wed,Weekday,FALSE,FALSE
2019-02-28,Avg Handle Time,101,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Avg Queue Time,19,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Avg Speed of Answer,17,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Calls Abandoned,22,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Calls Abandoned < Service Level,18,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Calls Handled,339,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Calls Handled < Service Level,306,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Calls Presented,361,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Max Handle Time,1031,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Max Queue Time,343,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Calls Abandoned,6.1,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Calls Handled,93.9,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Service Level Met (Handled),90.3,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),84.8,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Service Level Met (With Abandoned Calls Counted Positively),89.8,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Percentage of Service Level Met (Without Abandoned Calls),89.2,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-02-28,Service Level (sec),30,FALSE,2019,Feb,2,2019-02-01,Thu,Weekday,FALSE,FALSE
2019-03-01,Avg Handle Time,108,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Avg Queue Time,31,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Avg Speed of Answer,29,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Calls Abandoned,30,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
