district,district_type,non_official_percent,german_percent_of_non_official,non_official_at_home_percent
Wellesley,Township,35.51236749116608,78.60696517412936,27.220503756076003
Waterloo,City,34.157116065847056,4.941434846266471,17.39456576096016
Kitchener,City,33.21560317086571,4.406899810964083,17.65363786202025
Cambridge,City,23.907193250418214,2.372984484332218,11.499018110408029
Woolwich,Township,21.157086687886164,46.017699115044245,11.83077499064021
North Dumfries,Township,11.304757418747057,10.833333333333334,3.0617051342439945
Wilmot,Township,9.63572267920094,26.585365853658537,2.326674500587544
