district,district_type,household_income_2020,individual_income_2020,household_income_2026,individual_income_2026
North Dumfries,Township,128000,51600,155991.3273909901,62884.00385449289
Wellesley,Township,119000,44400,145023.18718381113,54109.491688749695
Woolwich,Township,115000,49200,140148.45820284268,59959.166465911825
Wilmot,Township,114000,50000,138929.77595760056,60934.11226210551
Waterloo,City,94000,41600,114556.13105275836,50697.18140207179
Cambridge,City,93000,42000,113337.44880751625,51184.65430016863
Region,Region,92000,42400,112118.76656227413,51672.12719826547
Kitchener,City,87000,41600,106025.35533606359,50697.18140207179
