geo,date,percent,percent_lower,percent_upper
Canada,2021-09-01,65.7,65.30800720309199,66.09199279690802
Canada,2021-10-01,65.7,65.30800720309199,66.09199279690802
Canada,2021-11-01,65.8,65.40800720309198,66.19199279690801
Canada,2021-12-01,65.7,65.30800720309199,66.09199279690802
Canada,2022-01-01,65.6,65.20800720309198,65.99199279690801
Canada,2022-02-01,65.6,65.20800720309198,65.99199279690801
Canada,2022-03-01,65.6,65.20800720309198,65.99199279690801
Canada,2022-04-01,65.7,65.30800720309199,66.09199279690802
Canada,2022-05-01,65.7,65.30800720309199,66.09199279690802
Canada,2022-06-01,65.6,65.20800720309198,65.99199279690801
Canada,2022-07-01,65.5,65.304003601546,65.695996398454
Canada,2022-08-01,65.4,65.204003601546,65.595996398454
Canada,2022-09-01,65.3,65.104003601546,65.495996398454
Canada,2022-10-01,65.4,65.204003601546,65.595996398454
Canada,2022-11-01,65.4,65.204003601546,65.595996398454
Canada,2022-12-01,65.5,65.304003601546,65.695996398454
Canada,2023-01-01,65.6,65.404003601546,65.795996398454
Canada,2023-02-01,65.7,65.504003601546,65.895996398454
Canada,2023-03-01,65.8,65.604003601546,65.995996398454
Canada,2023-04-01,65.8,65.604003601546,65.995996398454
Canada,2023-05-01,65.7,65.504003601546,65.895996398454
Canada,2023-06-01,65.8,65.604003601546,65.995996398454
Canada,2023-07-01,65.8,65.604003601546,65.995996398454
Canada,2023-08-01,65.8,65.604003601546,65.995996398454
Canada,2023-09-01,65.8,65.604003601546,65.995996398454
Canada,2023-10-01,65.8,65.604003601546,65.995996398454
Canada,2023-11-01,65.9,65.704003601546,66.095996398454
Canada,2023-12-01,65.8,65.604003601546,65.995996398454
Canada,2024-01-01,65.7,65.504003601546,65.895996398454
Canada,2024-02-01,65.6,65.404003601546,65.795996398454
Canada,2024-03-01,65.6,65.404003601546,65.795996398454
Canada,2024-04-01,65.6,65.404003601546,65.795996398454
Canada,2024-05-01,65.6,65.404003601546,65.795996398454
Canada,2024-06-01,65.6,65.404003601546,65.795996398454
Canada,2024-07-01,65.5,65.304003601546,65.695996398454
Canada,2024-08-01,65.4,65.204003601546,65.595996398454
Canada,2024-09-01,65.3,65.104003601546,65.495996398454
Canada,2024-10-01,65.3,65.104003601546,65.495996398454
Canada,2024-11-01,65.3,65.104003601546,65.495996398454
Canada,2024-12-01,65.4,65.204003601546,65.595996398454
Canada,2025-01-01,65.5,65.304003601546,65.695996398454
Canada,2025-02-01,65.4,65.204003601546,65.595996398454
Canada,2025-03-01,65.4,65.204003601546,65.595996398454
Canada,2025-04-01,65.3,65.104003601546,65.495996398454
Canada,2025-05-01,65.3,65.104003601546,65.495996398454
Canada,2025-06-01,65.3,65.104003601546,65.495996398454
Canada,2025-07-01,65.3,65.104003601546,65.495996398454
Canada,2025-08-01,65.2,65.004003601546,65.395996398454
Canada,2025-09-01,65.2,65.004003601546,65.395996398454
Canada,2025-10-01,65.2,65.004003601546,65.395996398454
Canada,2025-11-01,65.2,65.004003601546,65.395996398454
Canada,2025-12-01,65.3,65.104003601546,65.495996398454
Canada,2026-01-01,65.2,65.004003601546,65.395996398454
Canada,2026-02-01,65.1,64.904003601546,65.295996398454
Canada,2026-03-01,65,64.804003601546,65.195996398454
Canada,2026-04-01,65,64.804003601546,65.195996398454
Canada,2026-05-01,65,64.804003601546,65.195996398454
Canada,2026-06-01,65,64.804003601546,65.195996398454
Canada,2026-07-01,65,64.804003601546,65.195996398454
Canada,2026-08-01,65,64.804003601546,65.195996398454
Ontario,2021-09-01,65.5,64.91201080463799,66.08798919536201
Ontario,2021-10-01,65.6,65.01201080463798,66.18798919536201
Ontario,2021-11-01,65.8,65.21201080463798,66.38798919536201
Ontario,2021-12-01,65.9,65.31201080463799,66.48798919536202
Ontario,2022-01-01,65.8,65.21201080463798,66.38798919536201
Ontario,2022-02-01,65.8,65.21201080463798,66.38798919536201
Ontario,2022-03-01,65.6,65.01201080463798,66.18798919536201
Ontario,2022-04-01,65.7,65.11201080463799,66.28798919536202
Ontario,2022-05-01,65.7,65.11201080463799,66.28798919536202
Ontario,2022-06-01,65.6,65.01201080463798,66.18798919536201
Ontario,2022-07-01,65.4,64.81201080463799,65.98798919536202
Ontario,2022-08-01,65.3,64.71201080463798,65.88798919536201
Ontario,2022-09-01,65.2,64.61201080463799,65.78798919536202
Ontario,2022-10-01,65.2,64.61201080463799,65.78798919536202
Ontario,2022-11-01,65.2,64.61201080463799,65.78798919536202
Ontario,2022-12-01,65.4,64.81201080463799,65.98798919536202
Ontario,2023-01-01,65.5,65.10800720309199,65.89199279690801
Ontario,2023-02-01,65.5,65.10800720309199,65.89199279690801
Ontario,2023-03-01,65.6,65.20800720309198,65.99199279690801
Ontario,2023-04-01,65.6,65.20800720309198,65.99199279690801
Ontario,2023-05-01,65.7,65.30800720309199,66.09199279690802
Ontario,2023-06-01,65.8,65.40800720309198,66.19199279690801
Ontario,2023-07-01,65.8,65.40800720309198,66.19199279690801
Ontario,2023-08-01,65.9,65.50800720309199,66.29199279690802
Ontario,2023-09-01,65.8,65.40800720309198,66.19199279690801
Ontario,2023-10-01,65.8,65.40800720309198,66.19199279690801
Ontario,2023-11-01,65.7,65.30800720309199,66.09199279690802
Ontario,2023-12-01,65.5,65.10800720309199,65.89199279690801
Ontario,2024-01-01,65.3,64.90800720309198,65.69199279690801
Ontario,2024-02-01,65.1,64.70800720309198,65.49199279690801
Ontario,2024-03-01,65.2,64.80800720309199,65.59199279690802
Ontario,2024-04-01,65.3,64.90800720309198,65.69199279690801
Ontario,2024-05-01,65.4,65.00800720309199,65.79199279690802
Ontario,2024-06-01,65.4,65.00800720309199,65.79199279690802
Ontario,2024-07-01,65.4,65.00800720309199,65.79199279690802
Ontario,2024-08-01,65.3,64.90800720309198,65.69199279690801
Ontario,2024-09-01,65.2,64.80800720309199,65.59199279690802
Ontario,2024-10-01,65.1,64.70800720309198,65.49199279690801
Ontario,2024-11-01,65.1,64.70800720309198,65.49199279690801
Ontario,2024-12-01,65.2,64.80800720309199,65.59199279690802
Ontario,2025-01-01,65.3,64.90800720309198,65.69199279690801
Ontario,2025-02-01,65.3,64.90800720309198,65.69199279690801
Ontario,2025-03-01,65.2,64.80800720309199,65.59199279690802
Ontario,2025-04-01,65.1,64.70800720309198,65.49199279690801
Ontario,2025-05-01,65,64.60800720309199,65.39199279690801
Ontario,2025-06-01,65,64.60800720309199,65.39199279690801
Ontario,2025-07-01,65,64.60800720309199,65.39199279690801
Ontario,2025-08-01,64.9,64.50800720309199,65.29199279690802
Ontario,2025-09-01,64.8,64.40800720309198,65.19199279690801
Ontario,2025-10-01,64.8,64.40800720309198,65.19199279690801
Ontario,2025-11-01,64.9,64.50800720309199,65.29199279690802
Ontario,2025-12-01,65.1,64.70800720309198,65.49199279690801
Ontario,2026-01-01,64.9,64.50800720309199,65.29199279690802
Ontario,2026-02-01,64.8,64.40800720309198,65.19199279690801
Ontario,2026-03-01,64.5,64.10800720309199,64.89199279690801
Ontario,2026-04-01,64.7,64.30800720309199,65.09199279690802
Ontario,2026-05-01,64.7,64.30800720309199,65.09199279690802
Ontario,2026-06-01,64.7,64.30800720309199,65.09199279690802
Ontario,2026-07-01,64.7,64.30800720309199,65.09199279690802
Ontario,2026-08-01,64.7,64.30800720309199,65.09199279690802
Region,2021-09-01,68.9,65.96005402318993,71.83994597681009
Region,2021-10-01,69.6,66.66005402318991,72.53994597681007
Region,2021-11-01,69.9,66.96005402318993,72.83994597681009
Region,2021-12-01,69.8,66.86005402318992,72.73994597681008
Region,2022-01-01,69.6,66.66005402318991,72.53994597681007
Region,2022-02-01,69.3,66.36005402318992,72.23994597681008
Region,2022-03-01,69.3,66.36005402318992,72.23994597681008
Region,2022-04-01,68.7,65.76005402318992,71.63994597681008
Region,2022-05-01,68.7,65.76005402318992,71.63994597681008
Region,2022-06-01,68.9,65.96005402318993,71.83994597681009
Region,2022-07-01,69.5,66.95204682009793,72.04795317990207
Region,2022-08-01,70.2,67.65204682009794,72.74795317990207
Region,2022-09-01,70.2,67.65204682009794,72.74795317990207
Region,2022-10-01,70.3,67.75204682009793,72.84795317990206
Region,2022-11-01,70,67.45204682009793,72.54795317990207
Region,2022-12-01,70.1,67.55204682009793,72.64795317990206
Region,2023-01-01,70,67.64804321855193,72.35195678144807
