geo,date,percent,percent_lower,percent_upper
Canada,2021-09-01,7.2,6.808007203091989,7.591992796908011
Canada,2021-10-01,6.9,6.5080072030919895,7.291992796908011
Canada,2021-11-01,6.5,6.108007203091989,6.891992796908011
Canada,2021-12-01,6.2,5.808007203091989,6.591992796908011
Canada,2022-01-01,6.2,6.004003601545995,6.395996398454005
Canada,2022-02-01,5.9,5.704003601545995,6.095996398454005
Canada,2022-03-01,5.8,5.604003601545995,5.995996398454005
Canada,2022-04-01,5.4,5.204003601545995,5.595996398454005
Canada,2022-05-01,5.3,5.104003601545995,5.495996398454005
Canada,2022-06-01,5.2,5.004003601545995,5.395996398454005
Canada,2022-07-01,5,4.804003601545995,5.195996398454005
Canada,2022-08-01,5,4.804003601545995,5.195996398454005
Canada,2022-09-01,5.1,4.904003601545995,5.295996398454005
Canada,2022-10-01,5.1,4.904003601545995,5.295996398454005
Canada,2022-11-01,5.1,4.904003601545995,5.295996398454005
Canada,2022-12-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-01-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-02-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-03-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-04-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-05-01,5.1,4.904003601545995,5.295996398454005
Canada,2023-06-01,5.2,5.004003601545995,5.395996398454005
Canada,2023-07-01,5.3,5.104003601545995,5.495996398454005
Canada,2023-08-01,5.4,5.204003601545995,5.595996398454005
Canada,2023-09-01,5.4,5.204003601545995,5.595996398454005
Canada,2023-10-01,5.5,5.304003601545995,5.695996398454005
Canada,2023-11-01,5.6,5.404003601545995,5.795996398454005
Canada,2023-12-01,5.7,5.504003601545995,5.895996398454005
Canada,2024-01-01,5.8,5.604003601545995,5.995996398454005
Canada,2024-02-01,5.8,5.604003601545995,5.995996398454005
Canada,2024-03-01,5.9,5.704003601545995,6.095996398454005
Canada,2024-04-01,6.1,5.904003601545995,6.295996398454005
Canada,2024-05-01,6.2,6.004003601545995,6.395996398454005
Canada,2024-06-01,6.3,6.104003601545995,6.495996398454005
Canada,2024-07-01,6.4,6.204003601545995,6.595996398454005
Canada,2024-08-01,6.5,6.304003601545995,6.695996398454005
Canada,2024-09-01,6.5,6.304003601545995,6.695996398454005
Canada,2024-10-01,6.5,6.304003601545995,6.695996398454005
Canada,2024-11-01,6.7,6.504003601545995,6.895996398454005
Canada,2024-12-01,6.7,6.504003601545995,6.895996398454005
Canada,2025-01-01,6.8,6.604003601545995,6.995996398454005
Canada,2025-02-01,6.7,6.504003601545995,6.895996398454005
Canada,2025-03-01,6.7,6.504003601545995,6.895996398454005
Canada,2025-04-01,6.8,6.604003601545995,6.995996398454005
Canada,2025-05-01,6.9,6.704003601545995,7.095996398454005
Canada,2025-06-01,6.9,6.704003601545995,7.095996398454005
Canada,2025-07-01,6.9,6.704003601545995,7.095996398454005
Canada,2025-08-01,6.9,6.704003601545995,7.095996398454005
Canada,2025-09-01,7,6.804003601545995,7.195996398454005
Canada,2025-10-01,7,6.804003601545995,7.195996398454005
Canada,2025-11-01,6.8,6.604003601545995,6.995996398454005
Canada,2025-12-01,6.7,6.504003601545995,6.895996398454005
Canada,2026-01-01,6.6,6.404003601545995,6.795996398454005
Canada,2026-02-01,6.7,6.504003601545995,6.895996398454005
Canada,2026-03-01,6.6,6.404003601545995,6.795996398454005
Canada,2026-04-01,6.8,6.604003601545995,6.995996398454005
Canada,2026-05-01,6.7,6.504003601545995,6.895996398454005
Canada,2026-06-01,6.7,6.504003601545995,6.895996398454005
Canada,2026-07-01,6.5,6.304003601545995,6.695996398454005
Canada,2026-08-01,6.5,6.304003601545995,6.695996398454005
Ontario,2021-09-01,7.7,7.112010804637984,8.287989195362016
Ontario,2021-10-01,7.3,6.712010804637984,7.887989195362016
Ontario,2021-11-01,6.9,6.312010804637985,7.487989195362016
Ontario,2021-12-01,6.5,5.912010804637984,7.087989195362016
Ontario,2022-01-01,6.7,6.112010804637984,7.287989195362016
Ontario,2022-02-01,6.4,5.812010804637985,6.987989195362016
Ontario,2022-03-01,6.2,5.612010804637984,6.787989195362016
Ontario,2022-04-01,5.6,5.012010804637984,6.187989195362015
Ontario,2022-05-01,5.5,4.912010804637984,6.087989195362016
Ontario,2022-06-01,5.4,4.812010804637985,5.987989195362016
Ontario,2022-07-01,5.2,4.808007203091989,5.591992796908011
Ontario,2022-08-01,5.2,4.808007203091989,5.591992796908011
Ontario,2022-09-01,5.3,4.908007203091989,5.691992796908011
