geo,date,percent,percent_lower,percent_upper
Canada,2021-09-01,5.072113270600664,4.3891164111564676,5.755110130044861
Canada,2021-10-01,4.193903623215922,3.51981015075573,4.867997095676114
Canada,2021-11-01,3.8586591428187544,3.190854673546475,4.5264636120910335
Canada,2021-12-01,4.253627936453386,3.586250273264242,4.9210055996425295
Canada,2022-01-01,4.704873655942965,4.026348975941932,5.383398335943998
Canada,2022-02-01,5.083986924578987,4.405242640720058,5.762731208437916
Canada,2022-03-01,4.803460638457735,4.128133317192243,5.478787959723227
Canada,2022-04-01,4.998344565368318,4.326399975395598,5.670289155341037
Canada,2022-05-01,5.2527852847239265,4.580740208469232,5.924830360978621
Canada,2022-06-01,5.395983043789321,4.724196300132036,6.067769787446606
Canada,2022-07-01,4.894718967566658,4.242604103887228,5.546833831246088
Canada,2022-08-01,4.0831688380050135,3.4362956082081384,4.730042067801889
Canada,2022-09-01,3.514783118160314,2.8719333042274533,4.157632932093175
Canada,2022-10-01,3.191544749310138,2.551727277395412,3.8313622212248637
Canada,2022-11-01,2.8051020672168914,2.1692078247359134,3.4409963096978693
Canada,2022-12-01,2.6973840114571823,2.064303750215534,3.3304642726988307
Canada,2023-01-01,3.0359837462854866,2.437408962804817,3.6345585297661565
Canada,2023-02-01,3.073235084261161,2.476626759868672,3.66984340865365
Canada,2023-03-01,3.1975583026926158,2.602364552970558,3.7927520524146736
Canada,2023-04-01,2.735197485530616,2.1440842617650904,3.3263107092961417
Canada,2023-05-01,2.6894133526835784,2.099640916210946,3.2791857891562106
Canada,2023-06-01,2.6968841970893553,2.1081394625317262,3.2856289316469844
Canada,2023-07-01,2.7560807802824883,2.1889294390925826,3.323232121472394
Canada,2023-08-01,3.011146400178011,2.4441671559702396,3.578125644385782
Canada,2023-09-01,3.1816780622893504,2.6151314669997547,3.748224657578946
Canada,2023-10-01,3.2603430877901074,2.694702624037882,3.8259835515423326
Canada,2023-11-01,3.1780386156355256,2.6137533475825596,3.7423238836884916
Canada,2023-12-01,2.9255079006772045,2.3631304744635546,3.4878853268908543
Canada,2024-01-01,2.6406285925644646,2.0841824481827356,3.1970747369461936
Canada,2024-02-01,2.385481927110833,1.8310642819058258,2.93989957231584
Canada,2024-03-01,2.169037009100938,1.6166002326250153,2.721473785576861
Canada,2024-04-01,2.1277227722772185,1.576604186525362,2.678841358029075
Canada,2024-05-01,2.1282904002094982,1.5781767250820082,2.678404075336988
Canada,2024-06-01,2.086940223047584,1.5378250920065062,2.636055354088662
Canada,2024-07-01,1.976664040961018,1.4295492422045144,2.523778839717522
Canada,2024-08-01,1.7801910784246422,1.234596595134573,2.3257855617147114
Canada,2024-09-01,1.6779394550859639,1.1336623358747766,2.222216574297151
Canada,2024-10-01,1.5679510607733649,1.024958429393719,2.1109436921530107
Canada,2024-11-01,1.538123810917602,0.9960000101301439,2.0802476117050603
Canada,2024-12-01,1.6682749948825792,1.1266584889345865,2.209891500830572
Canada,2025-01-01,1.8811876366575886,1.3361937797737613,2.426181493541416
