table,kind,level,flag,meaning,rows,columns,examples
98-10-0180,footnote,note,3,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,whole table,
98-10-0180,footnote,note,7,"For more information on language variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Languages Reference Guide, Census of Population, 2021.",,Mother tongue (538): Total - Mother tongue,
